id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
75,married,sometimes,no,,school_bus,5 - 10,male,group B,associate's degree,free/reduced,none,44,41,38
76,married,regularly,yes,0.0,private,5 - 10,male,group E,some high school,standard,none,30,26,22
77,married,never,,3.0,private,5 - 10,male,group A,bachelor's degree,standard,completed,80,78,81
78,divorced,sometimes,yes,0.0,private,5 - 10,female,group D,some high school,standard,completed,61,74,72
79,married,sometimes,yes,,school_bus,< 5,female,group E,master's degree,standard,none,62,68,68
80,single,sometimes,yes,0.0,private,5 - 10,female,group B,associate's degree,standard,none,47,49,50
81,divorced,regularly,yes,3.0,school_bus,< 5,male,group B,high school,free/reduced,none,49,45,45
82,single,sometimes,yes,,private,> 10,male,group A,some college,free/reduced,completed,50,47,54
83,divorced,regularly,no,4.0,,5 - 10,male,group E,associate's degree,standard,none,72,64,63
84,divorced,sometimes,no,1.0,,< 5,male,group D,high school,free/reduced,none,42,39,34
85,married,regularly,no,3.0,private,> 10,female,group C,some college,standard,none,73,80,82
86,married,regularly,yes,4.0,private,5 - 10,female,group C,some college,free/reduced,none,76,83,88
87,married,regularly,yes,5.0,school_bus,5 - 10,female,group D,associate's degree,standard,none,71,71,74
88,married,never,yes,0.0,school_bus,< 5,female,group A,some college,standard,none,58,70,67
89,single,regularly,yes,2.0,,> 10,female,group D,some high school,standard,none,73,86,82
90,married,regularly,yes,3.0,school_bus,< 5,female,group C,bachelor's degree,standard,none,65,72,74
91,married,sometimes,no,7.0,school_bus,5 - 10,male,group C,high school,free/reduced,none,27,34,36
92,single,sometimes,no,1.0,private,5 - 10,male,group C,high school,standard,none,71,79,71
93,married,regularly,yes,3.0,school_bus,5 - 10,male,group C,associate's degree,free/reduced,completed,43,45,50
94,married,regularly,no,3.0,school_bus,5 - 10,female,group B,some college,standard,none,79,86,92
95,married,regularly,yes,1.0,school_bus,> 10,male,group C,associate's degree,free/reduced,completed,78,81,82
96,married,sometimes,yes,0.0,school_bus,5 - 10,male,group B,some high school,standard,completed,65,66,62
97,married,sometimes,no,3.0,private,5 - 10,female,group E,some college,standard,completed,63,72,70
98,single,sometimes,yes,0.0,school_bus,5 - 10,female,group D,some college,free/reduced,none,58,67,62
99,married,sometimes,yes,2.0,school_bus,5 - 10,female,group D,bachelor's degree,standard,none,65,67,62
100,single,regularly,no,3.0,school_bus,5 - 10,male,group B,some college,standard,none,79,67,67
101,single,sometimes,yes,4.0,school_bus,> 10,male,group D,bachelor's degree,standard,completed,68,74,74
102,single,regularly,no,6.0,,5 - 10,female,group D,associate's degree,standard,none,85,91,89
103,married,sometimes,yes,0.0,school_bus,5 - 10,male,group B,high school,standard,completed,60,44,47
104,married,never,yes,1.0,school_bus,< 5,male,group C,some college,standard,completed,98,86,90
105,married,regularly,yes,3.0,school_bus,< 5,female,group C,some college,standard,none,58,67,72
106,married,sometimes,yes,4.0,private,5 - 10,female,group D,master's degree,standard,none,87,100,100
107,single,never,no,1.0,school_bus,5 - 10,male,group E,associate's degree,standard,completed,66,63,64
108,married,never,no,2.0,private,5 - 10,female,group B,associate's degree,free/reduced,none,52,76,70
109,single,regularly,yes,0.0,private,> 10,female,group B,some high school,standard,none,70,64,72
110,divorced,sometimes,no,3.0,school_bus,5 - 10,female,group D,associate's degree,free/reduced,completed,77,89,98
111,married,never,yes,1.0,school_bus,5 - 10,male,group C,high school,standard,none,62,55,49
112,married,sometimes,yes,3.0,school_bus,< 5,male,group A,associate's degree,standard,none,54,53,47
113,single,regularly,yes,1.0,,5 - 10,female,group D,some college,standard,none,51,58,54
114,married,sometimes,no,3.0,private,,female,group E,bachelor's degree,standard,completed,99,100,100
115,single,regularly,no,3.0,school_bus,< 5,male,group C,high school,standard,none,84,77,74
116,single,never,yes,2.0,school_bus,> 10,female,group B,bachelor's degree,free/reduced,none,75,85,82
117,married,,no,3.0,private,5 - 10,female,group D,bachelor's degree,standard,none,78,82,79
118,married,regularly,no,3.0,school_bus,< 5,female,group D,some high school,standard,none,51,63,61
119,single,never,yes,2.0,private,< 5,female,group C,some college,standard,none,55,69,65
120,,regularly,yes,0.0,school_bus,5 - 10,female,group C,bachelor's degree,standard,completed,79,92,89
121,single,sometimes,no,1.0,school_bus,< 5,male,group B,associate's degree,standard,completed,91,89,92
122,single,regularly,yes,1.0,private,< 5,female,group C,some college,standard,completed,88,93,93
123,married,regularly,yes,2.0,school_bus,5 - 10,male,group D,high school,free/reduced,none,63,57,56
124,married,never,no,6.0,,< 5,male,group E,some college,standard,none,83,80,73
125,married,sometimes,yes,1.0,private,> 10,female,group B,high school,standard,none,87,95,86
126,married,sometimes,yes,1.0,,< 5,male,group B,some high school,standard,none,72,68,67
127,divorced,sometimes,yes,1.0,private,5 - 10,male,group D,some college,standard,completed,65,77,74
128,divorced,sometimes,yes,0.0,school_bus,< 5,male,group D,master's degree,standard,none,82,82,74
129,married,sometimes,yes,1.0,private,5 - 10,female,group A,bachelor's degree,standard,none,51,49,51
130,married,sometimes,yes,0.0,private,> 10,male,group D,master's degree,standard,none,89,84,82
131,married,sometimes,no,1.0,school_bus,5 - 10,male,group C,some high school,free/reduced,completed,53,37,40
132,married,regularly,no,2.0,private,5 - 10,male,group E,some college,free/reduced,completed,87,74,70
133,single,regularly,,1.0,private,< 5,female,group C,some college,standard,completed,75,81,84
134,single,sometimes,no,1.0,school_bus,5 - 10,male,group D,bachelor's degree,free/reduced,completed,74,79,75
135,divorced,sometimes,yes,3.0,private,> 10,male,group C,bachelor's degree,standard,none,58,55,48
136,single,regularly,yes,1.0,school_bus,< 5,male,group B,some high school,standard,completed,51,54,41
137,married,sometimes,yes,1.0,private,< 5,male,group E,high school,standard,none,70,55,56
138,married,regularly,no,3.0,private,5 - 10,female,group C,associate's degree,standard,none,59,66,67
139,married,sometimes,no,2.0,private,5 - 10,male,group D,some college,standard,completed,71,61,69
140,single,sometimes,yes,2.0,school_bus,< 5,female,group D,some high school,standard,none,76,72,71
141,married,sometimes,no,1.0,,5 - 10,female,group C,some college,free/reduced,none,59,62,64
142,single,never,no,2.0,,< 5,female,group E,some college,free/reduced,completed,42,55,54
143,married,regularly,yes,3.0,school_bus,< 5,male,group A,high school,standard,none,57,43,47
144,married,regularly,yes,1.0,school_bus,5 - 10,male,group D,some college,standard,none,88,73,78
145,,sometimes,yes,2.0,school_bus,< 5,female,group C,some college,free/reduced,none,22,39,33
146,divorced,regularly,yes,2.0,private,5 - 10,male,group B,some high school,standard,none,88,84,75
147,married,regularly,no,3.0,school_bus,> 10,male,group C,associate's degree,free/reduced,none,73,68,66
148,single,sometimes,yes,2.0,private,5 - 10,female,group D,bachelor's degree,standard,completed,68,75,81
149,married,sometimes,yes,3.0,school_bus,5 - 10,male,group E,associate's degree,free/reduced,completed,100,100,93
150,single,never,no,2.0,school_bus,5 - 10,male,group A,some high school,standard,completed,62,67,69
151,divorced,sometimes,yes,1.0,school_bus,5 - 10,male,group A,bachelor's degree,standard,none,77,67,68
152,married,never,yes,3.0,private,< 5,female,group B,associate's degree,standard,completed,59,70,66
153,married,sometimes,yes,0.0,school_bus,5 - 10,male,group D,bachelor's degree,standard,none,54,49,47
154,single,sometimes,yes,5.0,private,5 - 10,male,group D,some high school,standard,none,62,67,61
155,married,regularly,no,1.0,private,> 10,female,group C,some college,standard,completed,70,89,88
156,married,regularly,yes,2.0,private,5 - 10,female,group E,high school,free/reduced,completed,66,74,78
157,divorced,regularly,yes,5.0,school_bus,> 10,male,group B,some college,free/reduced,none,60,60,60
158,married,sometimes,no,3.0,school_bus,< 5,female,group B,associate's degree,standard,completed,61,86,87
159,single,never,yes,3.0,school_bus,5 - 10,male,group D,associate's degree,free/reduced,none,66,62,64
160,married,sometimes,yes,2.0,school_bus,5 - 10,male,group B,associate's degree,free/reduced,completed,82,78,74
161,married,sometimes,no,1.0,school_bus,< 5,female,group E,some college,free/reduced,completed,75,88,85
162,divorced,sometimes,yes,1.0,school_bus,5 - 10,male,group B,master's degree,free/reduced,none,49,53,52
163,married,sometimes,no,2.0,school_bus,< 5,male,group C,high school,standard,none,52,53,49
164,married,regularly,yes,,school_bus,< 5,female,group E,master's degree,standard,none,81,92,91
165,divorced,regularly,yes,2.0,school_bus,5 - 10,female,group C,bachelor's degree,standard,completed,96,100,100
166,divorced,regularly,yes,0.0,school_bus,5 - 10,male,group C,high school,free/reduced,completed,53,51,51
167,single,sometimes,yes,2.0,private,< 5,female,group B,master's degree,free/reduced,completed,58,76,78
168,single,sometimes,yes,1.0,private,5 - 10,female,group B,high school,standard,completed,68,83,78
169,married,sometimes,yes,3.0,private,,female,group C,some college,free/reduced,completed,67,75,70
170,single,sometimes,no,,private,< 5,male,group A,high school,standard,completed,72,73,74
171,married,never,yes,5.0,private,< 5,male,group E,some high school,standard,none,94,88,78
172,married,never,yes,1.0,school_bus,< 5,female,group D,some college,standard,none,79,86,81
173,married,sometimes,no,4.0,private,5 - 10,female,group C,associate's degree,standard,none,63,67,70
174,married,regularly,no,3.0,school_bus,< 5,female,group C,bachelor's degree,free/reduced,completed,43,51,54
175,single,sometimes,yes,1.0,school_bus,< 5,female,group C,master's degree,standard,completed,81,91,87
176,married,sometimes,yes,2.0,school_bus,5 - 10,female,group B,high school,free/reduced,completed,46,54,58
177,married,sometimes,no,2.0,school_bus,< 5,female,group C,associate's degree,standard,completed,71,77,77
178,single,sometimes,no,3.0,private,,female,group B,master's degree,free/reduced,completed,52,70,62
179,married,regularly,yes,4.0,,,female,group D,some high school,standard,completed,97,100,100
180,,regularly,yes,1.0,school_bus,< 5,male,group C,master's degree,free/reduced,completed,62,68,75
181,married,regularly,no,4.0,school_bus,< 5,female,group C,some college,free/reduced,none,46,64,66
182,married,never,yes,1.0,school_bus,5 - 10,female,group E,high school,standard,none,50,50,47
183,married,,no,7.0,private,> 10,female,group D,associate's degree,standard,none,65,69,70
184,widowed,regularly,yes,3.0,,> 10,male,group C,some high school,free/reduced,completed,45,52,49
185,married,regularly,yes,3.0,private,5 - 10,male,group C,associate's degree,free/reduced,completed,65,67,65
186,single,regularly,no,1.0,private,< 5,male,group E,high school,standard,none,80,76,65
187,divorced,sometimes,yes,3.0,school_bus,< 5,male,group D,some high school,standard,completed,62,66,68
188,married,sometimes,yes,2.0,school_bus,5 - 10,male,group B,some high school,free/reduced,none,48,52,45
189,,regularly,yes,2.0,school_bus,5 - 10,female,group C,bachelor's degree,standard,none,77,88,87
190,single,regularly,yes,1.0,,< 5,female,group E,associate's degree,standard,none,66,65,69
191,married,,yes,,school_bus,< 5,male,group D,some college,standard,completed,76,83,79
192,married,regularly,yes,4.0,school_bus,5 - 10,female,group B,some high school,standard,none,62,64,66
193,married,regularly,no,2.0,school_bus,5 - 10,male,group D,some college,standard,completed,77,62,62
194,married,regularly,yes,1.0,private,< 5,female,group C,master's degree,standard,completed,69,84,85
195,single,sometimes,no,2.0,,,male,group D,associate's degree,standard,none,61,55,52
196,widowed,sometimes,yes,3.0,school_bus,< 5,male,group C,some high school,free/reduced,completed,59,69,65
197,married,sometimes,yes,3.0,school_bus,5 - 10,male,group E,high school,free/reduced,none,55,56,51
198,divorced,sometimes,yes,2.0,school_bus,5 - 10,female,group B,some college,free/reduced,none,45,53,55
199,single,regularly,no,1.0,school_bus,5 - 10,female,group B,bachelor's degree,free/reduced,none,78,79,76
200,married,sometimes,yes,1.0,private,5 - 10,female,group C,associate's degree,standard,completed,67,84,86
201,,regularly,no,2.0,private,5 - 10,female,group D,some college,free/reduced,none,65,81,77
202,married,sometimes,yes,3.0,school_bus,< 5,male,group C,associate's degree,standard,none,69,77,69
203,married,regularly,no,3.0,,< 5,female,group B,associate's degree,standard,none,57,69,68
204,married,sometimes,no,2.0,school_bus,< 5,male,group C,some college,standard,none,59,41,42
205,single,never,no,1.0,,5 - 10,male,group D,some high school,standard,completed,74,71,78
206,widowed,regularly,yes,4.0,school_bus,5 - 10,male,group E,bachelor's degree,standard,none,82,62,62
207,married,sometimes,yes,0.0,school_bus,> 10,male,group E,high school,standard,completed,81,80,76
208,divorced,sometimes,no,3.0,,5 - 10,female,group B,some college,free/reduced,none,74,81,76
209,married,regularly,no,3.0,school_bus,5 - 10,female,group B,some college,free/reduced,none,58,61,66
210,divorced,regularly,,3.0,school_bus,> 10,male,group D,some high school,free/reduced,completed,80,79,79
211,married,sometimes,no,,private,< 5,male,group C,some college,free/reduced,none,35,28,27
212,married,sometimes,yes,5.0,school_bus,5 - 10,female,group C,high school,free/reduced,none,42,62,60
213,single,regularly,yes,0.0,school_bus,5 - 10,male,group C,associate's degree,free/reduced,completed,60,51,56
214,divorced,sometimes,no,4.0,school_bus,5 - 10,male,group E,high school,standard,completed,87,91,81
215,married,regularly,yes,3.0,school_bus,> 10,male,group B,some high school,standard,completed,84,83,75
216,married,regularly,yes,0.0,,5 - 10,female,group E,associate's degree,free/reduced,completed,83,86,88
217,married,regularly,,1.0,private,5 - 10,female,group C,high school,free/reduced,none,34,42,39
218,married,sometimes,yes,2.0,school_bus,5 - 10,male,group B,high school,free/reduced,none,66,77,70
219,divorced,sometimes,yes,3.0,school_bus,> 10,male,group B,some high school,standard,completed,61,56,56
220,married,sometimes,no,3.0,school_bus,> 10,female,group D,high school,standard,completed,56,68,74
221,married,regularly,no,1.0,school_bus,> 10,male,group B,associate's degree,standard,none,87,85,73
222,divorced,regularly,no,2.0,school_bus,< 5,female,group C,some high school,free/reduced,none,55,65,62
223,married,sometimes,yes,4.0,school_bus,< 5,male,group D,some high school,standard,none,86,80,75
224,married,regularly,yes,2.0,private,> 10,female,group B,associate's degree,standard,completed,52,66,73
225,,sometimes,yes,1.0,private,5 - 10,female,group E,master's degree,free/reduced,none,45,56,54
226,divorced,,yes,1.0,private,> 10,female,group C,some college,standard,none,72,72,71
227,single,regularly,no,4.0,private,5 - 10,male,group D,high school,standard,none,57,50,54
228,single,regularly,no,2.0,school_bus,< 5,male,group A,some high school,free/reduced,none,68,72,64
229,divorced,regularly,yes,1.0,school_bus,< 5,female,group C,some college,standard,completed,88,95,94
230,married,sometimes,no,3.0,private,< 5,male,group D,some college,standard,none,76,64,66
231,married,regularly,no,2.0,school_bus,5 - 10,male,group C,associate's degree,standard,none,46,43,42
232,single,sometimes,yes,1.0,private,5 - 10,female,group B,bachelor's degree,standard,none,67,86,83
233,married,sometimes,yes,2.0,private,< 5,male,group E,some high school,standard,none,92,87,78
234,married,sometimes,no,2.0,school_bus,> 10,male,group C,bachelor's degree,standard,completed,83,82,84
235,single,sometimes,yes,2.0,school_bus,5 - 10,male,group D,associate's degree,standard,none,80,75,77
236,married,regularly,,4.0,school_bus,< 5,male,group D,bachelor's degree,free/reduced,none,63,66,67
237,single,sometimes,yes,3.0,private,5 - 10,female,group D,some high school,standard,completed,64,60,74
238,married,sometimes,no,3.0,school_bus,,male,group B,some college,standard,none,54,52,51
239,married,sometimes,yes,0.0,private,5 - 10,male,group C,associate's degree,standard,none,84,80,80
240,single,sometimes,no,1.0,school_bus,5 - 10,male,group D,high school,free/reduced,completed,73,68,66
241,single,sometimes,no,5.0,private,< 5,female,group E,bachelor's degree,standard,none,80,83,83
242,married,regularly,,1.0,school_bus,5 - 10,female,group D,high school,standard,none,56,52,55
243,married,sometimes,yes,1.0,private,> 10,male,group E,some college,standard,none,59,51,43
244,married,sometimes,no,2.0,school_bus,5 - 10,male,group D,some high school,standard,none,75,74,69
245,married,regularly,no,2.0,private,5 - 10,male,group C,associate's degree,standard,none,85,76,71
246,single,sometimes,yes,1.0,private,5 - 10,male,group E,associate's degree,standard,none,89,76,74
247,married,sometimes,no,2.0,private,5 - 10,female,group B,high school,standard,completed,58,70,68
248,divorced,sometimes,no,1.0,school_bus,< 5,female,group B,high school,standard,none,65,64,62
249,married,sometimes,no,2.0,school_bus,< 5,male,group C,high school,standard,none,68,60,53
250,married,regularly,no,3.0,school_bus,5 - 10,male,group A,some high school,standard,completed,47,49,49
251,married,regularly,yes,5.0,school_bus,> 10,female,group D,some college,free/reduced,none,71,83,83
252,married,sometimes,no,2.0,school_bus,,female,group B,some high school,standard,completed,60,70,70
253,married,sometimes,yes,2.0,school_bus,5 - 10,male,group D,master's degree,standard,none,80,80,72
254,single,regularly,yes,1.0,,< 5,male,group D,high school,standard,none,54,52,52
255,single,regularly,yes,2.0,private,5 - 10,female,group E,some college,standard,none,62,73,70
256,married,sometimes,no,2.0,private,5 - 10,female,group C,associate's degree,free/reduced,none,64,73,68
257,widowed,,yes,1.0,school_bus,< 5,male,group C,associate's degree,standard,completed,78,77,77
258,married,sometimes,no,3.0,school_bus,5 - 10,female,group B,some college,standard,none,70,75,78
259,married,sometimes,yes,3.0,private,< 5,female,group C,master's degree,free/reduced,completed,65,81,81
260,single,sometimes,no,4.0,school_bus,< 5,female,group C,some high school,free/reduced,completed,64,79,77
261,married,sometimes,yes,1.0,school_bus,5 - 10,male,group C,some college,standard,completed,79,79,78
262,widowed,sometimes,no,2.0,school_bus,5 - 10,female,group C,some high school,free/reduced,none,44,50,51
263,divorced,sometimes,no,,private,5 - 10,female,group E,high school,standard,none,99,93,90
264,divorced,regularly,no,3.0,school_bus,5 - 10,male,group D,high school,standard,none,76,73,68
265,,never,yes,2.0,school_bus,5 - 10,male,group D,some high school,free/reduced,none,59,42,41
266,married,regularly,yes,0.0,private,< 5,female,group C,bachelor's degree,standard,none,63,75,81
267,married,never,yes,3.0,school_bus,5 - 10,female,group D,high school,standard,none,69,72,77
268,married,regularly,yes,0.0,private,5 - 10,female,group D,associate's degree,standard,completed,88,92,95
269,married,sometimes,no,1.0,school_bus,< 5,female,group E,some college,free/reduced,none,71,76,70
270,single,sometimes,yes,0.0,,< 5,male,group C,bachelor's degree,standard,none,69,63,61
271,married,sometimes,yes,1.0,school_bus,> 10,male,group C,some college,standard,none,58,49,42
272,married,sometimes,no,2.0,school_bus,5 - 10,female,group D,associate's degree,free/reduced,none,47,53,58
273,married,sometimes,yes,2.0,private,< 5,female,group D,some college,standard,none,65,70,71
274,married,never,yes,1.0,private,5 - 10,male,group B,some college,standard,completed,88,85,76
275,married,sometimes,yes,,school_bus,> 10,male,group C,bachelor's degree,standard,none,83,78,73
276,single,regularly,yes,3.0,school_bus,5 - 10,female,group C,some high school,standard,completed,85,92,93
277,married,never,yes,1.0,school_bus,> 10,female,group E,high school,standard,completed,59,63,75
278,widowed,regularly,no,2.0,school_bus,5 - 10,female,group C,some high school,free/reduced,none,65,86,80
279,single,regularly,no,1.0,school_bus,5 - 10,male,group B,bachelor's degree,free/reduced,none,73,56,57
280,single,regularly,no,2.0,private,< 5,male,group D,high school,standard,none,53,52,42
281,married,regularly,no,2.0,,< 5,male,group D,high school,standard,none,45,48,46
282,married,never,yes,2.0,private,< 5,female,group D,bachelor's degree,free/reduced,none,73,79,84
283,divorced,regularly,no,4.0,school_bus,< 5,female,group D,some college,free/reduced,completed,70,78,78
284,single,never,yes,5.0,school_bus,> 10,female,group B,some high school,standard,none,37,46,46
285,married,regularly,yes,1.0,school_bus,5 - 10,male,group B,associate's degree,standard,completed,81,82,82
286,married,regularly,yes,2.0,school_bus,5 - 10,male,group E,associate's degree,standard,completed,97,82,88
287,,sometimes,yes,7.0,private,5 - 10,female,group B,some high school,standard,none,67,89,82
288,divorced,regularly,yes,5.0,private,5 - 10,male,group B,bachelor's degree,free/reduced,none,88,75,76
289,single,regularly,no,2.0,,5 - 10,male,group E,some high school,standard,completed,77,76,77
290,married,regularly,no,3.0,private,> 10,male,group C,associate's degree,standard,none,76,70,68
291,single,regularly,yes,5.0,,< 5,male,group D,some high school,standard,none,86,73,70
292,married,sometimes,no,2.0,school_bus,5 - 10,male,group C,some high school,standard,completed,63,60,57
293,married,never,yes,3.0,school_bus,< 5,female,group E,bachelor's degree,standard,none,65,73,75
294,single,sometimes,yes,0.0,private,,male,group D,high school,free/reduced,completed,78,77,80
295,single,sometimes,yes,2.0,private,> 10,male,group B,associate's degree,free/reduced,none,67,62,60
296,married,regularly,no,3.0,private,5 - 10,male,group A,some high school,standard,completed,46,41,43
297,widowed,never,yes,3.0,private,5 - 10,male,group E,associate's degree,standard,completed,71,74,68
298,single,sometimes,no,1.0,school_bus,5 - 10,male,group C,high school,free/reduced,completed,40,46,50
299,married,sometimes,yes,,private,< 5,male,group D,associate's degree,free/reduced,none,90,87,75
300,single,regularly,no,1.0,school_bus,< 5,male,group A,some college,free/reduced,completed,81,78,81
301,divorced,sometimes,yes,2.0,,< 5,male,group D,some high school,free/reduced,none,56,54,52
302,married,never,no,3.0,private,> 10,female,group C,associate's degree,standard,completed,67,84,81
303,married,regularly,yes,2.0,private,< 5,male,group B,associate's degree,standard,none,80,76,64
