id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
57,married,sometimes,yes,5.0,private,5 - 10
58,married,sometimes,yes,0.0,school_bus,5 - 10
59,married,never,yes,1.0,private,< 5
60,married,sometimes,yes,4.0,school_bus,5 - 10
61,married,regularly,no,3.0,school_bus,5 - 10
62,divorced,regularly,no,3.0,school_bus,
63,single,sometimes,yes,3.0,school_bus,5 - 10
64,divorced,sometimes,yes,3.0,private,> 10
65,single,regularly,yes,1.0,private,5 - 10
66,divorced,never,yes,3.0,school_bus,5 - 10
67,married,sometimes,yes,2.0,private,< 5
68,divorced,sometimes,no,,school_bus,5 - 10
69,,sometimes,no,5.0,school_bus,5 - 10
70,,regularly,yes,,,5 - 10
71,divorced,sometimes,yes,2.0,school_bus,> 10
72,divorced,never,yes,1.0,school_bus,5 - 10
73,married,regularly,yes,0.0,private,> 10
74,married,sometimes,yes,0.0,private,
75,married,sometimes,no,,school_bus,5 - 10
76,married,regularly,yes,0.0,private,5 - 10
77,married,never,,3.0,private,5 - 10
78,divorced,sometimes,yes,0.0,private,5 - 10
79,married,sometimes,yes,,school_bus,< 5
80,single,sometimes,yes,0.0,private,5 - 10
81,divorced,regularly,yes,3.0,school_bus,< 5
82,single,sometimes,yes,,private,> 10
83,divorced,regularly,no,4.0,,5 - 10
84,divorced,sometimes,no,1.0,,< 5
85,married,regularly,no,3.0,private,> 10
86,married,regularly,yes,4.0,private,5 - 10
87,married,regularly,yes,5.0,school_bus,5 - 10
88,married,never,yes,0.0,school_bus,< 5
89,single,regularly,yes,2.0,,> 10
90,married,regularly,yes,3.0,school_bus,< 5
91,married,sometimes,no,7.0,school_bus,5 - 10
92,single,sometimes,no,1.0,private,5 - 10
93,married,regularly,yes,3.0,school_bus,5 - 10
94,married,regularly,no,3.0,school_bus,5 - 10
95,married,regularly,yes,1.0,school_bus,> 10
96,married,sometimes,yes,0.0,school_bus,5 - 10
97,married,sometimes,no,3.0,private,5 - 10
98,single,sometimes,yes,0.0,school_bus,5 - 10
99,married,sometimes,yes,2.0,school_bus,5 - 10
100,single,regularly,no,3.0,school_bus,5 - 10
101,single,sometimes,yes,4.0,school_bus,> 10
102,single,regularly,no,6.0,,5 - 10
103,married,sometimes,yes,0.0,school_bus,5 - 10
104,married,never,yes,1.0,school_bus,< 5
105,married,regularly,yes,3.0,school_bus,< 5
106,married,sometimes,yes,4.0,private,5 - 10
107,single,never,no,1.0,school_bus,5 - 10
108,married,never,no,2.0,private,5 - 10
109,single,regularly,yes,0.0,private,> 10
110,divorced,sometimes,no,3.0,school_bus,5 - 10
111,married,never,yes,1.0,school_bus,5 - 10
112,married,sometimes,yes,3.0,school_bus,< 5
113,single,regularly,yes,1.0,,5 - 10
114,married,sometimes,no,3.0,private,
115,single,regularly,no,3.0,school_bus,< 5
116,single,never,yes,2.0,school_bus,> 10
117,married,,no,3.0,private,5 - 10
118,married,regularly,no,3.0,school_bus,< 5
119,single,never,yes,2.0,private,< 5
120,,regularly,yes,0.0,school_bus,5 - 10
121,single,sometimes,no,1.0,school_bus,< 5
122,single,regularly,yes,1.0,private,< 5
123,married,regularly,yes,2.0,school_bus,5 - 10
124,married,never,no,6.0,,< 5
125,married,sometimes,yes,1.0,private,> 10
126,married,sometimes,yes,1.0,,< 5
127,divorced,sometimes,yes,1.0,private,5 - 10
128,divorced,sometimes,yes,0.0,school_bus,< 5
129,married,sometimes,yes,1.0,private,5 - 10
130,married,sometimes,yes,0.0,private,> 10
131,married,sometimes,no,1.0,school_bus,5 - 10
132,married,regularly,no,2.0,private,5 - 10
133,single,regularly,,1.0,private,< 5
134,single,sometimes,no,1.0,school_bus,5 - 10
135,divorced,sometimes,yes,3.0,private,> 10
136,single,regularly,yes,1.0,school_bus,< 5
137,married,sometimes,yes,1.0,private,< 5
138,married,regularly,no,3.0,private,5 - 10
139,married,sometimes,no,2.0,private,5 - 10
140,single,sometimes,yes,2.0,school_bus,< 5
141,married,sometimes,no,1.0,,5 - 10
142,single,never,no,2.0,,< 5
143,married,regularly,yes,3.0,school_bus,< 5
144,married,regularly,yes,1.0,school_bus,5 - 10
145,,sometimes,yes,2.0,school_bus,< 5
146,divorced,regularly,yes,2.0,private,5 - 10
147,married,regularly,no,3.0,school_bus,> 10
148,single,sometimes,yes,2.0,private,5 - 10
149,married,sometimes,yes,3.0,school_bus,5 - 10
150,single,never,no,2.0,school_bus,5 - 10
151,divorced,sometimes,yes,1.0,school_bus,5 - 10
152,married,never,yes,3.0,private,< 5
153,married,sometimes,yes,0.0,school_bus,5 - 10
154,single,sometimes,yes,5.0,private,5 - 10
155,married,regularly,no,1.0,private,> 10
156,married,regularly,yes,2.0,private,5 - 10
157,divorced,regularly,yes,5.0,school_bus,> 10
158,married,sometimes,no,3.0,school_bus,< 5
159,single,never,yes,3.0,school_bus,5 - 10
160,married,sometimes,yes,2.0,school_bus,5 - 10
161,married,sometimes,no,1.0,school_bus,< 5
162,divorced,sometimes,yes,1.0,school_bus,5 - 10
163,married,sometimes,no,2.0,school_bus,< 5
164,married,regularly,yes,,school_bus,< 5
165,divorced,regularly,yes,2.0,school_bus,5 - 10
166,divorced,regularly,yes,0.0,school_bus,5 - 10
167,single,sometimes,yes,2.0,private,< 5
168,single,sometimes,yes,1.0,private,5 - 10
169,married,sometimes,yes,3.0,private,
170,single,sometimes,no,,private,< 5
171,married,never,yes,5.0,private,< 5
172,married,never,yes,1.0,school_bus,< 5
173,married,sometimes,no,4.0,private,5 - 10
174,married,regularly,no,3.0,school_bus,< 5
175,single,sometimes,yes,1.0,school_bus,< 5
176,married,sometimes,yes,2.0,school_bus,5 - 10
177,married,sometimes,no,2.0,school_bus,< 5
178,single,sometimes,no,3.0,private,
179,married,regularly,yes,4.0,,
180,,regularly,yes,1.0,school_bus,< 5
181,married,regularly,no,4.0,school_bus,< 5
182,married,never,yes,1.0,school_bus,5 - 10
183,married,,no,7.0,private,> 10
184,widowed,regularly,yes,3.0,,> 10
185,married,regularly,yes,3.0,private,5 - 10
186,single,regularly,no,1.0,private,< 5
187,divorced,sometimes,yes,3.0,school_bus,< 5
188,married,sometimes,yes,2.0,school_bus,5 - 10
189,,regularly,yes,2.0,school_bus,5 - 10
190,single,regularly,yes,1.0,,< 5
191,married,,yes,,school_bus,< 5
192,married,regularly,yes,4.0,school_bus,5 - 10
193,married,regularly,no,2.0,school_bus,5 - 10
194,married,regularly,yes,1.0,private,< 5
195,single,sometimes,no,2.0,,
196,widowed,sometimes,yes,3.0,school_bus,< 5
197,married,sometimes,yes,3.0,school_bus,5 - 10
198,divorced,sometimes,yes,2.0,school_bus,5 - 10
199,single,regularly,no,1.0,school_bus,5 - 10
200,married,sometimes,yes,1.0,private,5 - 10
201,,regularly,no,2.0,private,5 - 10
202,married,sometimes,yes,3.0,school_bus,< 5
203,married,regularly,no,3.0,,< 5
204,married,sometimes,no,2.0,school_bus,< 5
205,single,never,no,1.0,,5 - 10
206,widowed,regularly,yes,4.0,school_bus,5 - 10
207,married,sometimes,yes,0.0,school_bus,> 10
208,divorced,sometimes,no,3.0,,5 - 10
209,married,regularly,no,3.0,school_bus,5 - 10
210,divorced,regularly,,3.0,school_bus,> 10
211,married,sometimes,no,,private,< 5
212,married,sometimes,yes,5.0,school_bus,5 - 10
213,single,regularly,yes,0.0,school_bus,5 - 10
214,divorced,sometimes,no,4.0,school_bus,5 - 10
215,married,regularly,yes,3.0,school_bus,> 10
216,married,regularly,yes,0.0,,5 - 10
217,married,regularly,,1.0,private,5 - 10
218,married,sometimes,yes,2.0,school_bus,5 - 10
219,divorced,sometimes,yes,3.0,school_bus,> 10
220,married,sometimes,no,3.0,school_bus,> 10
221,married,regularly,no,1.0,school_bus,> 10
222,divorced,regularly,no,2.0,school_bus,< 5
223,married,sometimes,yes,4.0,school_bus,< 5
224,married,regularly,yes,2.0,private,> 10
225,,sometimes,yes,1.0,private,5 - 10
226,divorced,,yes,1.0,private,> 10
227,single,regularly,no,4.0,private,5 - 10
228,single,regularly,no,2.0,school_bus,< 5
229,divorced,regularly,yes,1.0,school_bus,< 5
230,married,sometimes,no,3.0,private,< 5
231,married,regularly,no,2.0,school_bus,5 - 10
232,single,sometimes,yes,1.0,private,5 - 10
233,married,sometimes,yes,2.0,private,< 5
234,married,sometimes,no,2.0,school_bus,> 10
235,single,sometimes,yes,2.0,school_bus,5 - 10
236,married,regularly,,4.0,school_bus,< 5
237,single,sometimes,yes,3.0,private,5 - 10
238,married,sometimes,no,3.0,school_bus,
239,married,sometimes,yes,0.0,private,5 - 10
240,single,sometimes,no,1.0,school_bus,5 - 10
241,single,sometimes,no,5.0,private,< 5
242,married,regularly,,1.0,school_bus,5 - 10
243,married,sometimes,yes,1.0,private,> 10
244,married,sometimes,no,2.0,school_bus,5 - 10
245,married,regularly,no,2.0,private,5 - 10
246,single,sometimes,yes,1.0,private,5 - 10
247,married,sometimes,no,2.0,private,5 - 10
248,divorced,sometimes,no,1.0,school_bus,< 5
249,married,sometimes,no,2.0,school_bus,< 5
250,married,regularly,no,3.0,school_bus,5 - 10
251,married,regularly,yes,5.0,school_bus,> 10
252,married,sometimes,no,2.0,school_bus,
253,married,sometimes,yes,2.0,school_bus,5 - 10
254,single,regularly,yes,1.0,,< 5
255,single,regularly,yes,2.0,private,5 - 10
256,married,sometimes,no,2.0,private,5 - 10
257,widowed,,yes,1.0,school_bus,< 5
258,married,sometimes,no,3.0,school_bus,5 - 10
259,married,sometimes,yes,3.0,private,< 5
260,single,sometimes,no,4.0,school_bus,< 5
261,married,sometimes,yes,1.0,school_bus,5 - 10
262,widowed,sometimes,no,2.0,school_bus,5 - 10
263,divorced,sometimes,no,,private,5 - 10
264,divorced,regularly,no,3.0,school_bus,5 - 10
265,,never,yes,2.0,school_bus,5 - 10
266,married,regularly,yes,0.0,private,< 5
267,married,never,yes,3.0,school_bus,5 - 10
268,married,regularly,yes,0.0,private,5 - 10
269,married,sometimes,no,1.0,school_bus,< 5
270,single,sometimes,yes,0.0,,< 5
271,married,sometimes,yes,1.0,school_bus,> 10
272,married,sometimes,no,2.0,school_bus,5 - 10
273,married,sometimes,yes,2.0,private,< 5
274,married,never,yes,1.0,private,5 - 10
275,married,sometimes,yes,,school_bus,> 10
276,single,regularly,yes,3.0,school_bus,5 - 10
277,married,never,yes,1.0,school_bus,> 10
278,widowed,regularly,no,2.0,school_bus,5 - 10
279,single,regularly,no,1.0,school_bus,5 - 10
280,single,regularly,no,2.0,private,< 5
281,married,regularly,no,2.0,,< 5
282,married,never,yes,2.0,private,< 5
283,divorced,regularly,no,4.0,school_bus,< 5
284,single,never,yes,5.0,school_bus,> 10
285,married,regularly,yes,1.0,school_bus,5 - 10
286,married,regularly,yes,2.0,school_bus,5 - 10
287,,sometimes,yes,7.0,private,5 - 10
288,divorced,regularly,yes,5.0,private,5 - 10
289,single,regularly,no,2.0,,5 - 10
290,married,regularly,no,3.0,private,> 10
291,single,regularly,yes,5.0,,< 5
292,married,sometimes,no,2.0,school_bus,5 - 10
293,married,never,yes,3.0,school_bus,< 5
294,single,sometimes,yes,0.0,private,
295,single,sometimes,yes,2.0,private,> 10
296,married,regularly,no,3.0,private,5 - 10
297,widowed,never,yes,3.0,private,5 - 10
298,single,sometimes,no,1.0,school_bus,5 - 10
299,married,sometimes,yes,,private,< 5
300,single,regularly,no,1.0,school_bus,< 5
301,divorced,sometimes,yes,2.0,,< 5
302,married,never,no,3.0,private,> 10
303,married,regularly,yes,2.0,private,< 5
304,married,sometimes,yes,5.0,private,5 - 10
305,divorced,sometimes,no,1.0,,< 5
306,single,sometimes,yes,3.0,school_bus,5 - 10
307,married,sometimes,yes,1.0,school_bus,5 - 10
308,married,regularly,yes,2.0,school_bus,> 10
309,married,sometimes,yes,5.0,school_bus,5 - 10
310,married,sometimes,yes,2.0,school_bus,< 5
311,single,regularly,yes,,school_bus,< 5
312,,sometimes,no,3.0,private,< 5
313,married,never,no,3.0,school_bus,> 10
314,single,sometimes,yes,1.0,school_bus,5 - 10
315,,sometimes,yes,1.0,,
316,married,regularly,yes,2.0,,5 - 10
317,married,regularly,no,,private,5 - 10
318,single,regularly,yes,2.0,,5 - 10
319,single,sometimes,no,3.0,school_bus,< 5
320,married,sometimes,yes,3.0,school_bus,5 - 10
321,married,regularly,yes,1.0,school_bus,> 10
322,married,regularly,yes,0.0,,5 - 10
323,single,sometimes,yes,1.0,school_bus,< 5
324,single,sometimes,yes,3.0,private,< 5
325,,regularly,yes,2.0,school_bus,< 5
326,married,sometimes,yes,4.0,private,5 - 10
327,married,sometimes,no,2.0,school_bus,5 - 10
328,married,regularly,yes,0.0,,< 5
329,divorced,regularly,yes,2.0,private,> 10
330,married,sometimes,yes,0.0,private,5 - 10
331,married,,no,4.0,school_bus,> 10
332,married,sometimes,no,1.0,school_bus,< 5
333,married,regularly,no,1.0,private,< 5
334,married,never,yes,2.0,,< 5
335,single,regularly,no,3.0,school_bus,> 10
336,married,sometimes,no,2.0,private,5 - 10
337,married,sometimes,yes,1.0,private,< 5
338,divorced,sometimes,no,1.0,private,< 5
339,married,never,yes,1.0,school_bus,5 - 10
340,single,regularly,yes,3.0,private,5 - 10
341,single,regularly,no,2.0,private,5 - 10
342,single,sometimes,no,3.0,school_bus,< 5
343,divorced,regularly,yes,1.0,school_bus,5 - 10
344,married,regularly,no,2.0,private,> 10
345,married,sometimes,yes,2.0,,5 - 10
346,married,regularly,,3.0,private,> 10
347,single,sometimes,yes,2.0,private,5 - 10
348,single,regularly,yes,5.0,school_bus,5 - 10
349,married,regularly,yes,3.0,private,5 - 10
350,single,sometimes,no,4.0,school_bus,5 - 10
351,single,sometimes,yes,0.0,private,> 10
352,married,sometimes,yes,1.0,private,> 10
353,married,sometimes,yes,0.0,,> 10
354,single,sometimes,no,2.0,school_bus,> 10
355,single,sometimes,yes,,private,5 - 10
356,single,sometimes,no,1.0,private,> 10
357,married,regularly,yes,1.0,private,5 - 10
358,single,sometimes,yes,1.0,school_bus,5 - 10
359,divorced,sometimes,yes,0.0,private,< 5
360,married,sometimes,no,2.0,,5 - 10
361,divorced,regularly,yes,3.0,private,> 10
362,divorced,never,no,5.0,private,5 - 10
363,divorced,regularly,yes,2.0,private,5 - 10
364,single,sometimes,yes,0.0,school_bus,< 5
365,widowed,regularly,yes,4.0,school_bus,5 - 10
366,single,sometimes,yes,3.0,private,5 - 10
367,married,sometimes,no,1.0,school_bus,< 5
368,single,regularly,yes,0.0,private,5 - 10
369,single,sometimes,no,3.0,private,< 5
370,married,sometimes,yes,3.0,school_bus,> 10
371,divorced,regularly,yes,4.0,private,> 10
372,single,sometimes,no,,school_bus,5 - 10
373,married,never,no,5.0,school_bus,5 - 10
374,single,regularly,yes,0.0,school_bus,< 5
375,single,never,no,4.0,private,< 5
376,married,regularly,yes,3.0,private,5 - 10
377,married,sometimes,no,1.0,school_bus,
378,married,regularly,no,2.0,school_bus,> 10
379,single,sometimes,yes,4.0,private,5 - 10
380,single,regularly,yes,0.0,school_bus,5 - 10
381,married,regularly,yes,,,< 5
382,married,regularly,no,3.0,school_bus,> 10
383,married,regularly,yes,3.0,school_bus,5 - 10
384,divorced,sometimes,no,2.0,school_bus,5 - 10
385,widowed,never,no,5.0,school_bus,> 10
386,,regularly,yes,2.0,private,5 - 10
387,widowed,regularly,yes,4.0,school_bus,5 - 10
388,married,sometimes,yes,3.0,private,
389,married,regularly,yes,3.0,school_bus,5 - 10
390,single,regularly,no,3.0,private,5 - 10
391,married,sometimes,yes,3.0,private,< 5
392,married,sometimes,yes,3.0,,< 5
393,married,regularly,no,4.0,private,5 - 10
394,married,sometimes,no,3.0,private,5 - 10
395,married,regularly,no,2.0,,< 5
396,divorced,never,yes,0.0,private,> 10
397,married,sometimes,yes,0.0,,< 5
398,married,,no,2.0,private,5 - 10
399,single,sometimes,yes,3.0,school_bus,< 5
400,married,regularly,yes,2.0,school_bus,5 - 10
401,single,regularly,yes,0.0,private,5 - 10
402,single,sometimes,yes,1.0,private,
403,married,sometimes,no,3.0,school_bus,> 10
404,married,sometimes,,1.0,private,< 5
405,single,sometimes,yes,3.0,school_bus,
406,single,never,yes,4.0,school_bus,< 5
407,divorced,sometimes,no,,school_bus,< 5
408,married,sometimes,no,1.0,,> 10
409,married,sometimes,no,7.0,private,5 - 10
410,married,regularly,yes,3.0,school_bus,5 - 10
411,divorced,sometimes,yes,1.0,private,5 - 10
412,single,regularly,yes,0.0,school_bus,< 5
413,married,sometimes,,0.0,school_bus,5 - 10
414,single,regularly,no,1.0,school_bus,5 - 10
415,married,sometimes,yes,2.0,,
416,married,sometimes,yes,2.0,school_bus,5 - 10
417,,sometimes,no,1.0,school_bus,< 5
418,married,sometimes,yes,0.0,school_bus,5 - 10
419,divorced,regularly,,3.0,,5 - 10
420,,regularly,yes,1.0,school_bus,> 10
421,single,regularly,yes,2.0,school_bus,> 10
422,widowed,regularly,yes,4.0,school_bus,5 - 10
423,single,regularly,yes,,school_bus,5 - 10
424,divorced,sometimes,yes,3.0,private,5 - 10
425,married,sometimes,,5.0,school_bus,5 - 10
426,married,regularly,no,1.0,school_bus,> 10
427,married,never,yes,3.0,private,> 10
428,,regularly,yes,3.0,private,5 - 10
429,married,sometimes,yes,0.0,school_bus,5 - 10
430,divorced,sometimes,no,3.0,school_bus,5 - 10
431,single,regularly,yes,1.0,,5 - 10
432,married,regularly,,2.0,school_bus,
433,married,sometimes,no,4.0,,5 - 10
434,married,regularly,no,1.0,private,< 5
435,married,sometimes,yes,1.0,school_bus,5 - 10
436,divorced,never,no,1.0,private,5 - 10
437,widowed,sometimes,yes,4.0,school_bus,5 - 10
438,divorced,sometimes,yes,,private,5 - 10
439,married,sometimes,no,4.0,,5 - 10
440,divorced,sometimes,no,1.0,school_bus,> 10
441,married,regularly,no,7.0,school_bus,> 10
442,single,regularly,yes,3.0,private,5 - 10
443,married,regularly,yes,2.0,private,5 - 10
444,divorced,sometimes,no,1.0,private,5 - 10
445,married,regularly,yes,0.0,private,< 5
446,married,sometimes,yes,4.0,school_bus,5 - 10
447,married,sometimes,no,5.0,private,> 10
448,single,sometimes,yes,2.0,private,5 - 10
449,,sometimes,yes,3.0,,> 10
450,single,sometimes,yes,2.0,school_bus,5 - 10
451,married,sometimes,no,1.0,school_bus,5 - 10
452,single,never,yes,1.0,private,5 - 10
453,single,sometimes,yes,4.0,school_bus,> 10
454,married,sometimes,yes,1.0,private,5 - 10
455,married,sometimes,yes,3.0,school_bus,5 - 10
456,married,sometimes,yes,2.0,private,> 10
457,divorced,sometimes,yes,2.0,private,5 - 10
458,single,regularly,no,3.0,school_bus,< 5
459,married,sometimes,no,,school_bus,< 5
460,married,sometimes,yes,3.0,private,5 - 10
461,married,sometimes,,4.0,school_bus,5 - 10
462,divorced,regularly,yes,1.0,school_bus,5 - 10
463,,never,yes,5.0,school_bus,5 - 10
464,married,regularly,no,1.0,school_bus,< 5
465,divorced,sometimes,,0.0,,5 - 10
466,married,sometimes,no,1.0,school_bus,5 - 10
467,married,sometimes,yes,6.0,school_bus,< 5
468,divorced,regularly,yes,2.0,school_bus,< 5
469,divorced,sometimes,yes,4.0,private,5 - 10
470,married,regularly,no,3.0,school_bus,< 5
471,,sometimes,no,1.0,school_bus,5 - 10
472,married,sometimes,yes,3.0,school_bus,< 5
473,married,sometimes,yes,2.0,school_bus,5 - 10
474,married,sometimes,yes,0.0,private,< 5
475,divorced,sometimes,yes,0.0,school_bus,
476,married,regularly,yes,3.0,school_bus,> 10
477,single,regularly,yes,1.0,private,5 - 10
478,married,sometimes,yes,3.0,school_bus,< 5
479,married,regularly,yes,1.0,school_bus,5 - 10
480,single,sometimes,no,3.0,private,5 - 10
481,married,regularly,no,1.0,private,5 - 10
482,married,sometimes,no,3.0,,5 - 10
483,,sometimes,yes,2.0,,< 5
484,married,regularly,no,2.0,school_bus,< 5
485,divorced,regularly,yes,3.0,private,5 - 10
486,single,sometimes,yes,3.0,school_bus,5 - 10
487,married,sometimes,no,1.0,private,5 - 10
488,married,sometimes,no,1.0,private,
489,divorced,never,yes,1.0,school_bus,5 - 10
490,single,regularly,no,1.0,school_bus,5 - 10
491,married,sometimes,no,5.0,school_bus,5 - 10
492,married,sometimes,no,3.0,private,5 - 10
493,single,sometimes,yes,4.0,private,5 - 10
494,married,sometimes,yes,5.0,private,> 10
495,widowed,regularly,yes,2.0,,5 - 10
496,married,sometimes,no,2.0,private,
497,single,sometimes,yes,3.0,private,> 10
498,single,sometimes,yes,4.0,school_bus,< 5
499,divorced,sometimes,yes,2.0,,5 - 10
500,single,sometimes,no,2.0,private,< 5
501,married,never,no,1.0,private,5 - 10
502,married,,yes,1.0,private,5 - 10
503,married,never,yes,2.0,private,5 - 10
504,single,sometimes,yes,2.0,school_bus,< 5
505,married,sometimes,no,4.0,school_bus,5 - 10
506,married,sometimes,no,1.0,school_bus,> 10
507,married,sometimes,yes,5.0,private,5 - 10
508,single,never,no,2.0,,< 5
509,married,never,yes,1.0,school_bus,5 - 10
510,,sometimes,no,2.0,school_bus,< 5
511,married,sometimes,no,3.0,school_bus,> 10
512,married,sometimes,no,1.0,private,5 - 10
513,single,sometimes,no,2.0,school_bus,< 5
514,divorced,regularly,yes,3.0,private,5 - 10
515,single,regularly,no,2.0,private,> 10
516,married,sometimes,yes,2.0,,5 - 10
517,married,regularly,yes,1.0,school_bus,5 - 10
518,married,sometimes,yes,3.0,school_bus,5 - 10
519,divorced,regularly,yes,2.0,private,< 5
520,married,regularly,no,5.0,school_bus,< 5
521,married,sometimes,yes,1.0,school_bus,< 5
522,,sometimes,yes,0.0,,< 5
523,married,regularly,no,2.0,private,5 - 10
524,married,never,no,3.0,private,5 - 10
525,married,regularly,no,2.0,private,5 - 10
526,divorced,regularly,yes,1.0,private,> 10
527,single,regularly,no,,private,> 10
528,single,regularly,yes,1.0,school_bus,5 - 10
529,single,sometimes,no,2.0,school_bus,< 5
530,married,sometimes,yes,2.0,school_bus,> 10
531,divorced,sometimes,no,3.0,school_bus,
532,single,regularly,yes,3.0,school_bus,> 10
533,married,regularly,no,2.0,school_bus,< 5
534,divorced,sometimes,yes,1.0,,5 - 10
535,married,sometimes,,1.0,school_bus,< 5
536,divorced,sometimes,no,2.0,school_bus,< 5
537,single,never,no,4.0,private,5 - 10
538,married,,yes,2.0,,5 - 10
539,married,regularly,yes,6.0,private,< 5
540,single,regularly,yes,2.0,private,
541,divorced,regularly,yes,1.0,private,5 - 10
542,married,never,yes,1.0,school_bus,5 - 10
543,single,sometimes,no,5.0,private,> 10
544,,sometimes,yes,1.0,school_bus,5 - 10
545,,sometimes,no,1.0,private,> 10
546,married,sometimes,yes,7.0,school_bus,5 - 10
547,married,sometimes,yes,0.0,school_bus,5 - 10
548,married,sometimes,yes,1.0,school_bus,< 5
549,single,sometimes,no,1.0,school_bus,> 10
550,married,regularly,no,3.0,school_bus,< 5
551,married,sometimes,no,2.0,school_bus,< 5
552,divorced,never,yes,3.0,school_bus,5 - 10
553,widowed,sometimes,yes,1.0,school_bus,5 - 10
554,single,sometimes,yes,2.0,school_bus,> 10
555,married,sometimes,yes,3.0,school_bus,5 - 10
556,married,regularly,yes,1.0,school_bus,< 5
557,,regularly,no,1.0,school_bus,< 5
558,single,sometimes,yes,1.0,,5 - 10
559,widowed,sometimes,no,3.0,private,< 5
560,widowed,sometimes,yes,5.0,school_bus,5 - 10
561,married,never,yes,,,5 - 10
562,married,sometimes,yes,3.0,private,5 - 10
563,married,regularly,no,2.0,private,5 - 10
564,married,sometimes,yes,1.0,school_bus,> 10
565,married,regularly,no,2.0,school_bus,5 - 10
566,married,never,yes,1.0,,5 - 10
567,married,sometimes,yes,4.0,school_bus,> 10
568,single,sometimes,no,1.0,school_bus,5 - 10
569,single,sometimes,yes,1.0,private,< 5
570,divorced,sometimes,no,1.0,school_bus,5 - 10
571,married,sometimes,no,2.0,school_bus,5 - 10
572,married,sometimes,yes,1.0,school_bus,5 - 10
573,married,sometimes,,,school_bus,< 5
574,divorced,sometimes,yes,3.0,private,< 5
575,,never,yes,,school_bus,5 - 10
576,married,sometimes,yes,1.0,private,5 - 10
577,divorced,never,yes,0.0,private,5 - 10
578,married,regularly,no,1.0,school_bus,< 5
579,married,sometimes,yes,5.0,school_bus,5 - 10
580,married,sometimes,yes,3.0,school_bus,< 5
581,married,sometimes,yes,0.0,private,< 5
582,married,sometimes,no,4.0,school_bus,5 - 10
583,married,sometimes,yes,1.0,school_bus,5 - 10
584,single,sometimes,,4.0,school_bus,5 - 10
585,,sometimes,no,3.0,,5 - 10
586,married,sometimes,yes,1.0,school_bus,5 - 10
587,married,never,no,3.0,,< 5
588,single,sometimes,yes,2.0,school_bus,> 10
589,single,regularly,,3.0,private,5 - 10
590,married,sometimes,yes,2.0,private,> 10
591,divorced,never,yes,4.0,private,5 - 10
592,married,regularly,no,2.0,private,< 5
593,married,regularly,yes,0.0,,< 5
